Aperture Finance (ARBITRUM)	aptr	ARBITRUM
ApeSwap (BEP20)	banana	BEP20
api3 (ERC20)	api3	ERC20
Apple xStock (SOL)	aaplx	SOL
Aptos	apt	Mainnet
AptosLaunch Token (APTOS)	alt	APTOS
AptosLaunch Token (ERC20)	ALT	ETH
AquaGoat.Finance (BEP20)	aquagoat	BEP20
Aragon (ERC20)	ant	ERC20
ArbDoge AI (ARBITRUM)	aidoge	ARBITRUM
Arbitrum (ERC20)	arb	ERC20
Arbitrum (Mainnet)	arb	Mainnet
Arcana Network (ERC20)	xar	ERC20
Arcblock (ERC20)	abt	ERC20
ARC (ERC20)	ARC	ETH
ArchLoot (BEP20)	alt0	BEP20
ArchLoot (ERC20)	al	ERC20
ARCS (ERC20)	ARX	ETH
Ardor (Mainnet)	ardr	Mainnet
AREA(AREA) (MAINNET)	area	MAINNET
Arena-Z (ERC20)	a2z	ERC20
Argentine Football Association Fan Token (CHZ)	ARG	CHZ
Ariva (BEP20)	arv	BEP20
Arkham (ERC20)	ARKM	ETH
Ark (Mainnet)	ark	Mainnet
ARPA (BEP20)	arpa	BEP20
ARPA Chain (ERC20)	arpa	ERC20
Arsenal Fan Token (CHZ)	afc	CHZ
Artificial Liquid Intelligence (ERC20)	ALI	ETH
Artrade (SOL)	ATR	SOL
Artyfact (BSC)	ARTY	BSC
Arweave (Mainnet)	ar	Mainnet
Asia Coin (ERC20)	asia	ERC20
AS Roma Fan Token (CHZ)	ASR	CHZ
Assisterr AI (BEP20)	asrr	BEP20
Assisterr AI (SOL)	asrr	SOL
Astar (Mainnet)	astr	Mainnet
Astra Protocol (ERC20)	astra	ERC20
Astro Armadillos (MATIC)	astros	MATIC
AtemNetwork (BEP20)	atem	BEP20
Atlas DEX (BEP20)	ats	BEP20
Atlético de Madrid Fan Token (CHZ)	ATM	CHZ
Auction (ERC20)	AUCTION	ETH
Audius (ERC20)	audio	ERC20
Augur (ERC20)	rep	ERC20
Aurix (ERC20)	aur	ERC20
Aurora (ERC20)	aurora	ERC20
Aurora (MAINNET)	aurora	MAINNET
Aurox (BEP20)	urus	BEP20
AURY (SOL)	AURY	SOL
Auto (BEP20)	auto	BEP20
Automata Network (BEP20)	ata	BEP20
Automata Network (ERC20)	ata	ERC20
Autonomi (ARBITRUM)	ant	ARBITRUM
Ava AI (SOL)	avaai	SOL
AVACOIN (TON)	avacn	TON
Avail (MAINNET)	avail	MAINNET
Avalanche (BEP20)	avax	BEP20
Avalanche (C-Chain)	avax	AVAXC
Avalanche (X-Chain)	avax	AVAXX
Avalaunch (AVAXC)	xava	AVAXC
Avalon Labs (BEP20)	avl	BEP20
Avalox (AVAXC)	avalox	AVAXC
AVAOLD (BEP20)	ava	BEP20
AVAOLD (BEP2)	ava	BEP2
AVAOLD (ERC20)	ava	ERC20
AVA (SOL)	ava	SOL
Aventus (ERC20)	avt	ERC20
AVNRich Token (BEP20)	avn	BEP20
AWE Network (BASE)	awe	BASE
Axelar (BEP20)	axl	BEP20
Axel (MAINNET)	axel	MAINNET
Axie Infinity (BEP20)	axs	BEP20
Axie Infinity (ERC20)	axs	ERC20
Axie Infinity (RONIN)	axs	RONIN
Axiome (MAINNET)	axm	MAINNET
B3 (BASE)	b3	BASE
Baanx (ERC20)	bxx	ERC20
BABB (ERC20)	BAX	ETH
Baby Bonk (BEP20)	babybonk	BEP20
BabyBoomToken (BEP20)	bbt	BEP20
Baby Doge Coin (BEP20)	babydoge	BEP20
Baby Doge Coin (ERC20)	babydoge	ERC20
Baby Shark Meme (SOL)	babyshark	SOL
Badger DAO (ERC20)	badger	ERC20
Bad Idea AI (ERC20)	bad	ERC20
BakeryToken (BEP20)	bake	BEP20
Balance (BEP20)	ept	BEP20
Balance (ERC20)	ept	ERC20
Balancer (BEP20)	bal	BEP20
Balancer (ERC20)	bal	ERC20
Banana (ERC20)	BANANA	ETH
Bancor (BEP20)	bnt	BEP20
BancorNetworkToken (ERC20)	bnt	ERC20
Band (ERC20)	band	ERC20
Band (Mainnet)	band	Mainnet
Band Protocol (BEP20)	band	BEP20
BarnBridge (ERC20)	BOND	ETH
Based Labs (ERC20)	basedai	ERC20
Basenji (BASE)	benji	BASE
BAT (BEP20)	bat	BEP20
BAT (ERC20)	bat	ERC20
BAT (KCC)	bat	KCC
Beam (Binance Smart Chain) (BEP20)	beamx	BEP20
Beam (ERC20)	beam	ERC20
Beam (Ethereum) (ERC20)	beamx	ERC20
Beam (Mainnet)	beam	beam
Beefy Finance (BEP20)	bifi	BEP20
Beefy.Finance (ERC20)	BIFI	ETH
BEERCOIN (SOL)	BEER	SOL
BEFE (BEP20)	befe	BEP20
BeFi Labs  (ERC20)	befi	ERC20
Beldex	bdx	Mainnet
Bella Protocol (BEP20)	bel	BEP20
Bella Protocol (ERC20)	bel	ERC20
BELT (BEP20)	belt	BEP20
Ben (ERC20)	ben	ERC20
BENQI (BEP20)	qi	BEP20
BEPRO Network (ERC20)	BEPRO	ETH
Berachain (MAINNET)	bera	MAINNET
Berry Data (BEP20)	bry	BEP20
Berry (ERC20)	BERRY	ETH
Berry (HEDERA)	berry	HEDERA
Bert (SOL)	bert	SOL
Beta Finance (BEP20)	beta	BEP20
Beta Finance (ERC20)	beta	ERC20
Bethel (MATIC)	becx	MATIC
BFG Token (BEP20)	bfg	BEP20
BHO Network (BEP20)	bho	BEP20
BICITY AI PROJECTS (BEP20)	bicity	BEP20
BICONOMY (BICO) (ERC20)	bico	ERC20
Bifrost (ERC20)	bfc	ERC20
Big Coin (BEP20)	bcx	BEP20
Big Time (ERC20)	BIGTIME	ETH
Billion Happiness (BEP20)	bhc	BEP20
BILLY (SOL)	BILLY	SOL
Binamon (BEP20)	bmon	BEP20
Binance Coin (BEP2)	bnb	BEP2
Binance Coin (BSC)	bnb	BEP20
Binance Coin (ERC20)	bnb	ERC20
Binance Coin (OPBNB)	bnb	OPBNB
Binance Staked SOL (SOL)	bnsol	SOL
Binance USD (AVAXC)	busd	AVAXC
Binance USD (BEP2)	busd	BEP2
Binance USD (BSC)	busd	BEP20
Binance USD (ERC20)	busd	ERC20
Binance USD (MATIC)	busd	MATIC
Binemon (BEP20)	bin	BEP20
Biometric Financial (BEP20)	biofi	BEP20
BIO Protocol (ERC20)	bio	ERC20
Biswap (BEP20)	bsw	BEP20
Bitcoin 2.0 (ERC20)	btc2	ERC20
Bitcoin (BEP20)	btc	BEP20
Bitcoin	btc	Mainnet
Bitcoin Cash	bch	Mainnet
Bitcoin Cash (BEP20)	bch	BEP20
Bitcoin Cash (ERC20)	BCH	ETH
Bitcoin Cash SV (MAINNET)	bchsv	MAINNET
Bitcoin Cats (ERC20)	1CAT	ETH
Bitcoin Gold (Mainnet)	btg	Mainnet
Bitcoin (Lightning)	btc	Lightning
Bitcoin (SOL)	btc	SOL
Bitcoin Std Hashrate (BEP20)	btcst	BEP20
Bitcoin SV (BCHSV)	BSV	BCHSV
Bitcoin SV (ERC20)	bsv	ERC20
Bitcoin SV (Mainnet)	bsv	Mainnet
BitcoinZ (BTCZ)	BTCZ	BTCZ
BitcoinZ (MAINNET)	btcz	MAINNET
BitDAO (ERC20)	bit	ERC20
Bitgert (BEP20)	brise	BEP20
Bitgert (MAINNET)	brise	MAINNET
Bitget Token (ERC20)	bgb	ERC20
Bitget Token (MORPH)	bgb	MORPH
Bitkub Coin (ERC20)	kub	ERC20
BitMart Token (ERC20)	BMX	ETH
BitMEX Token (ERC20)	bmex	ERC20
bitsCrunch Token (ERC20)	BCUT	ETH
bitsCrunch Token (MATIC)	bcut	MATIC
BitShares (MAINNET)	bts	MAINNET
bitSmiley (ERC20)	smile	ERC20
Bittensor (MAINNET)	tao	MAINNET
BitTorrent (BTT)	BTT	BTT
BitTorrent (MAINNET)	btt	MAINNET
BitTorrent-NEW (BEP20)	bttc	BEP20
BitTorrent New (BTTC)	btt	BTTC
BitTorrent-New (ERC20)	bttc	ERC20
BitTorrent-New (TRC20)	bttc	TRC20
BitTorrent (TRX)	BTT	TRX
Bitune (ERC20)	tune	ERC20
BlackCardCoin (BEP20)	bccoin	BEP20
Blendr Network (ERC20)	blendr	ERC20
BLOCKLORDS (ERC20)	lrds	ERC20
Blocksquare Token  (ERC20)	bst	ERC20
Block Vault (BEP20)	bvt	BEP20
BLOCKv (ERC20)	vee	ERC20
Bloktopia (BEP20)	blok	BEP20
Bloktopia (MATIC)	blok	MATIC
Blum (TON)	blum	TON
Blur (ERC20)	blur	ERC20
Bluzelle (BEP20)	blz	BEP20
Bluzelle (ERC20)	blz	ERC20
BNBXBT (BEP20)	bnbxbt	BEP20
Bnext (ALGO)	b3x	ALGO
BnkToTheFuture (ERC20)	bft	ERC20
Boba Network (ERC20)	boba	ERC20
Boba Network (MAINNET)	BOBA	MAINNET
BOBO (ERC20)	BOBO	ETH
BONDEX (ERC20)	bdxn	ERC20
Bone ShibaSwap (ERC20)	bone	ERC20
BONE SHIBASWAP (SHIBARIUM)	bone	SHIBARIUM
Bonfida (SOL)	fida	SOL
Bonk (BEP20)	bonk	BEP20
Bonk (SOL)	bonk	SOL
BonusBlock (BASE)	bonus	BASE
BOOK OF ETHEREUM (ERC20)	booe	ERC20
BOOK OF MEME (SOL)	BOME	SOL
BoringDAO (BEP20)	boring	BEP20
BoringDAO (ERC20)	BORING	ETH
Botto (ERC20)	botto	ERC20
BounceBit (MAINNET)	bb	MAINNET
Bounce Token (BEP20)	auction	BEP20
Boundless Network (BEP20)	bun	BEP20
BOZO (SOL)	BOZO	SOL
Brett (Base)	BRETT	BASE
Bridge Oracle (BEP20)	brg	BEP20
BRN Metaverse (BEP20)	brn	BEP20
Broccoli (firstbroccoli.com) (BEP20)	BROCCOLIF3B	BEP20
BSCEX (BEP20)	bscx	BEP20
BSquared Network (BEP20)	b2	BEP20
BTCs (Ordinals) (BTC)	btcs	BTC
Bubb (BEP20)	bubb	BEP20
Bubblefong (ERC20)	bbf	ERC20
Bubblefong Token (ERC20)	BBF	ETH
Bubblemaps (BEP20)	bmt	BEP20
Bubblemaps (MATIC)	bmt	MATIC
Bubblemaps (SOL)	bmt	SOL
Buff Doge Coin (BEP20)	dogecoin	BEP20
BugsCoin (BEP20)	bgsc	BEP20
BUILDon (BEP20)	b	BEP20
Bulla (BEP20)	bulla	BEP20
BULL BTC CLUB (BEP20)	bbc	BEP20
BurgerCities (BEP20)	burger	BEP20
BVM (ERC20)	bvm	ERC20
Bware (AVAXC)	infra	AVAXC
Bware (ERC20)	INFRA	ETH
Bybit Staked SOL (SOL)	bbsol	SOL
C98 (BEP20)	c98	BEP20
Camelot Token (ARBITRUM)	GRAIL	ARBITRUM
CANTO (MAINNET)	canto	MAINNET
CAPS (BEP20)	caps	BEP20
CaptainBNB (BEP20)	captainbnb	BEP20
Captain Tsubasa (MATIC)	tsugt	MATIC
Capverse (BEP20)	cap	BEP20
Carbon (BEP20)	csix	BEP20
Cardano	ada	Mainnet
Carecoin (ERC20)	care	ERC20
Carnomaly (MATIC)	carr	MATIC
Carry (ERC20)	cre	ERC20
CAR (SOL)	car	SOL
Cartesi (BEP20)	ctsi	BEP20
Cartesi (ERC20)	ctsi	ERC20
CARV (BASE)	carv	BASE
Cashaa (BEP20)	cas	BEP20
Cashaa (BSC)	CAS	BSC
CasinoCoin (XRP)	csc	XRP
Casper (Mainnet)	cspr	Mainnet
CATAMOTO (SOL)	cata	SOL
CATCH (ARBITRUM)	catch	ARBITRUM
CatDog (SOL)	catdog	SOL
Catgirl (BEP20)	catgirl	BEP20
Catheon Gaming (MATIC)	catheon	MATIC
cat in a dogs world (SOL)	MEW	SOL
Catizen (TON)	CATI	TON
Cat Own Kimono (SOL)	COK	SOL
Cats (TON)	cats	TON
Catwifhat (SOL)	cwif	SOL
CEEK Smart Vr (ERC20)	CEEK	ETH
CEEK VR (BEP20)	ceek	BEP20
Ceek VR ERC 20 (ERC20)	ceek	ERC20
Celer Network (BEP20)	celr	BEP20
Celer Network (ERC20)	celr	ERC20
Celestial (ERC20)	celt	ERC20
Celestia (MAINNET)	tia	MAINNET
Cellframe (ERC20)	cell	ERC20
Cellframe Network (BEP20)	cell	BEP20
Celo Dollar (Mainnet)	cusd	Mainnet
Celo (Mainnet)	celo	Mainnet
Celsius (ERC20)	cel	ERC20
Centric Swap (BEP20)	cns	BEP20
Centrifuge (ERC20)	cfg	ERC20
Centrifuge (MAINNET)	cfg	MAINNET
Cere Network (ERC20)	CERE	ETH
CESS Network (BEP20)	cess	BEP20
Cetus (SUI)	CETUS	SUI
Chainbase (BASE)	c	BASE
ChainCross (ERC20)	CXT	ETH
Chainflip (ERC20)	FLIP	ETH
Chainge (ERC20)	xchng	ERC20
ChainGPT (BEP20)	cgpt	BEP20
ChainGPT (ERC20)	cgpt	ERC20
Chainlink (Arbitrum One)	link	Arbitrum
Chainlink (BEP20)	link	BEP20
Chainlink (ERC20)	link	ERC20
Chainlink (KCC)	link	KCC
ChainSwap (ERC20)	CSWAP	ETH
ChangeNOW Token (BEP2)	now	BEP2
Chappyz (BEP20)	chapz	BEP20
Chat (BSC)	DECHAT	BSC
CheckDot (ERC20)	cdt	ERC20
Cheelee (BEP20)	cheel	BEP20
cheqd (ERC20)	cheq	ERC20
Cheqd (MAINNET)	cheq	MAINNET
Chia (Mainnet)	xch	Mainnet
Chiliz (ERC20)	chz	ERC20
Chiliz (MAINNET)	chz	MAINNET
Chimpzee (ERC20)	chmpz	ERC20
Chintai Network (ERC20)	chex	ERC20
CHIPPY (SOL)	CHIPPY	SOL
Chirpley (BEP20)	chrp	BEP20
Chirp (SUI)	chirp	SUI
Choise.com (ERC20)	cho	ERC20
CHONKY (SOL)	chonky	SOL
Chromia (ERC20)	chr	ERC20
Chronicle (ERC20)	xnl	ERC20
Chrono.tech (BEP20)	time	BEP20
Chrono.tech (ERC20)	time	ERC20
Chumbi Valley (BEP20)	chmb	BEP20
Chumbi Valley (BSC)	CHMB	BSC
Circle xStock (SOL)	crclx	SOL
Circuits of Value (ERC20)	coval	ERC20
Cirus Foundation (ERC20)	CIRUS	ETH
Civic (ERC20)	cvc	ERC20
Clearpool (ERC20)	CPOOL	ETH
Clear Water (BEP20)	clear	BEP20
Clore.ai (MAINNET)	clore	MAINNET
Cloud (SOL)	cloud	SOL
Clover Finance (ERC20)	CLV	ETH
CLV (BEP20)	clv	BEP20
Cobak (ERC20)	CBK	ETH
Cobak (MATIC)	cbk	MATIC
Coin98 (ERC20)	c98	ERC20
Coinbase xStock (SOL)	coinx	SOL
Coinweb (ERC20)	CWEB	ETH
COINZIX (BEP20)	zix	BEP20
Coldstack (ERC20)	cls	ERC20
COMBO (BEP20)	combo	BEP20
COMBO (ERC20)	combo	ERC20
Comedian (SOL)	ban	SOL
Common Wealth (BASE)	wlth	BASE
Compound (BEP20)	comp	BEP20
Compound (ERC20)	comp	ERC20
Concordium (MAINNET)	ccd	MAINNET
Conflux (BEP20)	cfx	BEP20
Conflux (CFXCORE)	cfx	CFXCORE
Conflux Network (MAINNET)	cfx	MAINNET
Constellation (MAINNET)	dag	MAINNET
ConstitutionDAO (BEP20)	people	BEP20
ConstitutionDAO (ERC20)	people	ERC20
Contentos (BEP20)	cos	BEP20
Contentos (ERC20)	cos	ERC20
Convex Finance (ERC20)	cvx	ERC20
Cookie (BEP20)	cookie	BEP20
Cookie DAO (BASE)	cookie	BASE
COQ INU (AVAXC)	COQ	AVAXC
Core (Mainnet)	core	Mainnet
Coreum (MAINNET)	coreum	MAINNET
Coreum (XRP)	coreum	XRP
CorgiAI (SOL)	corgiai	SOL
Cornucopias (BEP20)	copi	BEP20
Cosmos (BSC)	atom	BEP20
Cosmos (Mainnet)	atom	Mainnet
Cosplay Token  (ERC20)	cot	ERC20
COTI (BEP20)	coti	BEP20
COTI (ERC20)	coti	ERC20
COTI (MAINNET)	coti	MAINNET
Counter Fire (BEP20)	cec	BEP20
Coupon Assets (ERC20)	CA	ERC20
Covalent (ERC20)	cqt	ERC20
Cratos (ERC20)	CRTS	ETH
CreatorBid (BEP20)	bid	BEP20
Credefi (ERC20)	CREDI	ETH
Creditcoin (ERC20)	ctc	ERC20
Creo Engine (BEP20)	creo	BEP20
CRETA (MATIC)	creta	MATIC
Croatian Football Federation Tok (MATIC)	vatreni	MATIC
Cronos (Mainnet)	cro	Mainnet
Cros (MATIC)	cros	MATIC
CrossFi (MAINNET)	xfi	MAINNET
Cross The Ages (ERC20)	CTA	ETH
Cross The Ages (SOL)	cta	SOL
Cros World (ERC20)	cros	ERC20
Cros World (MATIC)	cros	MATIC
Crust (ERC20)	cru	ERC20
Crust (MAINNET)	cru	MAINNET
