target_ticker	target_network	target_address	live_coin	memo_required	rate_status	rate_source_ticker	rate_source_network	rate_amount	provider	fixed	rate_trade_id	trade_status	trade_id	error
urus	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
snc	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
NGC	ETH	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
SLN	ETH	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
NAO	ETH	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
sln	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
SORA	ETH	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
solve	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
SYNT	ETH	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
tama	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
sunwukong	TRC20	TU8kwtd2r2ojuyHUYbxu8Vcj9ia2KNzN8f	no		missing_from_live_coins									
saitama	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
moz	ARBITRUM	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
rwa	BEP20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
roost	BASE	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
prx	BEP20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
lsd	APTOS	0xa4c3845b1f1031ee99adde7991ff9980079edafea0b5b993b2dcf33f7cf50572	no		missing_from_live_coins									
pmg	BEP20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
nwc	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
NWC	XLM	GDA6VAD2GV5VZDASDP2ALSADQT2IUYUFI4ZI7L7AW6KMI7TEAXWOITAL	no		missing_from_live_coins									
plx	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
uuu	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
naym	BASE	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
lead	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
MAX	ETH	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
indy	ADA	addr1v9dd3gtv6je555fpdjwma8f98qqy492lky2n08c7ftslyeg89jvu8	no		missing_from_live_coins									
hlg	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
GINNAN	SOL	E3y5f9eKrQ2WPm9kH99H63mqLQnBMFmqR3QneJ29PnUb	no		missing_from_live_coins									
eths	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
vps	ERC20	0x9858effd232b4033e47d90003d41ec34ecaeda94	no		missing_from_live_coins									
